Age	L	M	S	Gender
0.167	1	38.783	0.03055	2
0.25	1	40.312	0.02893	2
0.333	1	41.526	0.02776	2
0.417	1	42.528	0.02693	2
0.5	1	43.374	0.02634	2
0.583	1	44.098	0.02592	2
0.667	1	44.721	0.02563	2
0.75	1	45.257	0.02542	2
0.833	1	45.72	0.02527	2
0.917	1	46.122	0.02515	2
1	1	46.476	0.02506	2
1.083	1	46.79	0.025	2
1.167	1	47.069	0.02494	2
1.25	1	47.326	0.02489	2
1.333	1	47.56	0.02485	2
1.417	1	47.781	0.02481	2
1.5	1	47.992	0.02477	2
1.583	1	48.189	0.02473	2
1.667	1	48.372	0.02469	2
1.75	1	48.54	0.02464	2
1.833	1	48.707	0.0246	2
1.917	1	48.874	0.02456	2
2	1	49.024	0.02451	2
2.083	1	49.167	0.02447	2
2.167	1	49.302	0.02442	2
2.25	1	49.43	0.02438	2
2.333	1	49.552	0.02433	2
2.417	1	49.666	0.02428	2
2.5	1	49.777	0.02423	2
2.583	1	49.881	0.02418	2
2.667	1	49.98	0.02414	2
2.75	1	50.074	0.02409	2
2.833	1	50.162	0.02404	2
2.917	1	50.246	0.02399	2
3	1	50.329	0.02394	2
3.083	1	50.407	0.02389	2
3.167	1	50.481	0.02385	2
3.25	1	50.552	0.0238	2
3.333	1	50.622	0.02375	2
3.417	1	50.687	0.02371	2
3.5	1	50.753	0.02366	2
3.583	1	50.816	0.02362	2
3.667	1	50.877	0.02358	2
3.75	1	50.934	0.02354	2
3.833	1	50.991	0.0235	2
3.917	1	51.048	0.02346	2
4	1	51.104	0.02342	2
4.083	1	51.156	0.02339	2
4.167	1	51.208	0.02336	2
4.25	1	51.258	0.02332	2
4.333	1	51.309	0.02329	2
4.417	1	51.358	0.02326	2
4.5	1	51.406	0.02323	2
4.583	1	51.454	0.02321	2
4.667	1	51.501	0.02318	2
4.75	1	51.546	0.02316	2
4.833	1	51.591	0.02314	2
4.917	1	51.637	0.02311	2
5	1	51.681	0.02309	2
5.083	1	51.725	0.02307	2
5.167	1	51.768	0.02306	2
5.25	1	51.81	0.02304	2
5.333	1	51.852	0.02303	2
5.417	1	51.893	0.02301	2
5.5	1	51.934	0.023	2
5.583	1	51.975	0.02299	2
5.667	1	52.014	0.02298	2
5.75	1	52.053	0.02297	2
5.833	1	52.092	0.02296	2
5.917	1	52.131	0.02295	2
6	1	52.169	0.02294	2
6.083	1	52.207	0.02294	2
6.167	1	52.244	0.02293	2
6.25	1	52.281	0.02293	2
6.333	1	52.318	0.02293	2
6.417	1	52.355	0.02293	2
6.5	1	52.391	0.02292	2
6.583	1	52.427	0.02292	2
6.667	1	52.462	0.02292	2
6.75	1	52.498	0.02293	2
6.833	1	52.533	0.02293	2
6.917	1	52.568	0.02293	2
7	1	52.604	0.02293	2
7.083	1	52.638	0.02294	2
7.167	1	52.673	0.02294	2
7.25	1	52.707	0.02295	2
7.333	1	52.741	0.02296	2
7.417	1	52.775	0.02296	2
7.5	1	52.809	0.02297	2
7.583	1	52.842	0.02298	2
7.667	1	52.876	0.02299	2
7.75	1	52.909	0.023	2
7.833	1	52.942	0.02301	2
7.917	1	52.975	0.02302	2
8	1	53.008	0.02303	2
8.083	1	53.041	0.02304	2
8.167	1	53.073	0.02305	2
8.25	1	53.106	0.02306	2
8.333	1	53.138	0.02308	2
8.417	1	53.169	0.02309	2
8.5	1	53.201	0.0231	2
8.583	1	53.232	0.02312	2
8.667	1	53.264	0.02313	2
8.75	1	53.295	0.02315	2
8.833	1	53.326	0.02316	2
8.917	1	53.357	0.02318	2
9	1	53.387	0.0232	2
9.083	1	53.417	0.02321	2
9.167	1	53.448	0.02323	2
9.25	1	53.477	0.02325	2
9.333	1	53.507	0.02327	2
9.417	1	53.537	0.02328	2
9.5	1	53.566	0.0233	2
9.583	1	53.595	0.02332	2
9.667	1	53.624	0.02334	2
9.75	1	53.653	0.02336	2
9.833	1	53.681	0.02338	2
9.917	1	53.71	0.0234	2
10	1	53.738	0.02342	2
10.083	1	53.766	0.02344	2
10.167	1	53.794	0.02346	2
10.25	1	53.821	0.02348	2
10.333	1	53.848	0.0235	2
10.417	1	53.875	0.02352	2
10.5	1	53.902	0.02354	2
10.583	1	53.929	0.02356	2
10.667	1	53.955	0.02358	2
10.75	1	53.982	0.0236	2
10.833	1	54.007	0.02362	2
10.917	1	54.033	0.02364	2
11	1	54.06	0.02366	2
