Age	L	M	S	Gender
-0.32580424366872	1	21.10156	0.0662953	2
-0.306639288158795	1	22.16809	0.06482162	2
-0.287474332648871	1	23.23329	0.06331395	2
-0.268309377138946	1	24.29014	0.06173639	2
-0.249144421629021	1	25.32564	0.06007728	2
-0.229979466119096	1	26.31602	0.05835389	2
-0.210814510609172	1	27.25686	0.05650073	2
-0.191649555099247	1	28.15286	0.05443045	2
-0.172484599589322	1	29.00924	0.05212006	2
-0.153319644079398	1	29.81712	0.04956586	2
-0.134154688569473	1	30.56807	0.04687613	2
-0.114989733059548	1	31.25904	0.04415755	2
-0.095824777549624	1	31.88534	0.04150212	2
-0.076659822039699	1	32.44534	0.03897662	2
-0.057494866529774	1	32.94206	0.03661936	2
-0.03832991101985	1	33.38124	0.0344432	2
-0.019164955509925	1	33.77464	0.03242938	2
0	1	34.13042	0.03055761	2
0.019164955509925	1	34.4652	0.02876645	2
0.03832991101985	1	34.79057	0.02701415	2
0.03832991101985	1	35.23	0.0325	2
0.057494866529774	1	35.84	0.0323	2
0.076659822039699	1	36.38	0.0322	2
0.083333333333333	1	36.55	0.0321	2
0.095824777549624	1	36.85	0.0320	2
0.114989733059548	1	37.27	0.0319	2
0.134154688569473	1	37.66	0.0318	2
0.153319644079398	1	38.02	0.0317	2
0.166666666666667	1	38.25	0.0317	2
0.172484599589322	1	38.35	0.0317	2
0.191649555099247	1	38.67	0.0316	2
0.210814510609172	1	38.97	0.0315	2
0.229979466119096	1	39.25	0.0315	2
0.249144421629021	1	39.52	0.0314	2
0.25	1	39.53	0.0314	2
0.333333333333333	1	40.58	0.0312	2
0.416666666666667	1	41.46	0.0310	2
0.5	1	42.20	0.0309	2
0.583333333333333	1	42.83	0.0308	2
0.666666666666667	1	43.37	0.0306	2
0.75	1	43.83	0.0305	2
0.833333333333333	1	44.23	0.0304	2
0.916666666666667	1	44.58	0.0304	2
1	1	44.90	0.0303	2
1.08333333333333	1	45.18	0.0302	2
1.16666666666667	1	45.43	0.0301	2
1.25	1	45.66	0.0301	2
1.33333333333333	1	45.87	0.0300	2
1.41666666666667	1	46.06	0.0299	2
1.5	1	46.24	0.0299	2
1.58333333333333	1	46.42	0.0298	2
1.66666666666667	1	46.58	0.0298	2
1.75	1	46.74	0.0297	2
1.83333333333333	1	46.89	0.0297	2
1.91666666666667	1	47.04	0.0296	2
2	1	47.18	0.0296	2
2	1	47.18	0.0296	2
2.08333333333333	1	47.32	0.0295	2
2.16666666666667	1	47.45	0.0295	2
2.25	1	47.58	0.0295	2
2.33333333333333	1	47.70	0.0294	2
2.41666666666667	1	47.82	0.0294	2
2.5	1	47.93	0.0293	2
2.58333333333333	1	48.04	0.0293	2
2.66666666666667	1	48.14	0.0293	2
2.75	1	48.24	0.0292	2
2.83333333333333	1	48.33	0.0292	2
2.91666666666667	1	48.42	0.0292	2
3	1	48.51	0.0291	2
3.08333333333333	1	48.59	0.0291	2
3.16666666666667	1	48.67	0.0291	2
3.25	1	48.75	0.0290	2
3.33333333333333	1	48.82	0.0290	2
3.41666666666667	1	48.89	0.0290	2
3.5	1	48.96	0.0289	2
3.58333333333333	1	49.03	0.0289	2
3.66666666666667	1	49.09	0.0289	2
3.75	1	49.16	0.0289	2
3.83333333333333	1	49.22	0.0288	2
3.91666666666667	1	49.28	0.0288	2
4	1	49.33	0.0288	2
4	1	51.104	0.02342	2
4.083	1	51.156	0.02339	2
4.167	1	51.208	0.02336	2
4.25	1	51.258	0.02332	2
4.333	1	51.309	0.02329	2
4.417	1	51.358	0.02326	2
4.5	1	51.406	0.02323	2
4.583	1	51.454	0.02321	2
4.667	1	51.501	0.02318	2
4.75	1	51.546	0.02316	2
4.833	1	51.591	0.02314	2
4.917	1	51.637	0.02311	2
5	1	51.681	0.02309	2
5.083	1	51.725	0.02307	2
5.167	1	51.768	0.02306	2
5.25	1	51.81	0.02304	2
5.333	1	51.852	0.02303	2
5.417	1	51.893	0.02301	2
5.5	1	51.934	0.023	2
5.583	1	51.975	0.02299	2
5.667	1	52.014	0.02298	2
5.75	1	52.053	0.02297	2
5.833	1	52.092	0.02296	2
5.917	1	52.131	0.02295	2
6	1	52.169	0.02294	2
6.083	1	52.207	0.02294	2
6.167	1	52.244	0.02293	2
6.25	1	52.281	0.02293	2
6.333	1	52.318	0.02293	2
6.417	1	52.355	0.02293	2
6.5	1	52.391	0.02292	2
6.583	1	52.427	0.02292	2
6.667	1	52.462	0.02292	2
6.75	1	52.498	0.02293	2
6.833	1	52.533	0.02293	2
6.917	1	52.568	0.02293	2
7	1	52.604	0.02293	2
7.083	1	52.638	0.02294	2
7.167	1	52.673	0.02294	2
7.25	1	52.707	0.02295	2
7.333	1	52.741	0.02296	2
7.417	1	52.775	0.02296	2
7.5	1	52.809	0.02297	2
7.583	1	52.842	0.02298	2
7.667	1	52.876	0.02299	2
7.75	1	52.909	0.023	2
7.833	1	52.942	0.02301	2
7.917	1	52.975	0.02302	2
8	1	53.008	0.02303	2
8.083	1	53.041	0.02304	2
8.167	1	53.073	0.02305	2
8.25	1	53.106	0.02306	2
8.333	1	53.138	0.02308	2
8.417	1	53.169	0.02309	2
8.5	1	53.201	0.0231	2
8.583	1	53.232	0.02312	2
