Age	L	M	S	Gender
21.583	-1.322	22.629	0.11487	1
21.667	-1.318	22.662	0.11483	1
21.75	-1.314	22.693	0.1148	1
21.833	-1.311	22.725	0.11477	1
21.917	-1.307	22.757	0.11474	1
22	-1.304	22.788	0.11471	1
22.083	-1.3	22.82	0.11468	1
22.167	-1.297	22.851	0.11464	1
22.25	-1.293	22.882	0.11461	1
22.333	-1.29	22.913	0.11458	1
22.417	-1.286	22.945	0.11455	1
22.5	-1.283	22.975	0.11452	1
22.583	-1.279	23.005	0.11449	1
22.667	-1.276	23.036	0.11446	1
22.75	-1.272	23.067	0.11443	1
22.833	-1.269	23.097	0.1144	1
22.917	-1.266	23.127	0.11437	1
23	-1.263	23.154	0.11434	1
-0.134	-0.103	9.286	0.10869	2
-0.115	-0.16	10.023	0.10534	2
-0.096	-0.211	10.668	0.10238	2
-0.077	-0.256	11.237	0.09974	2
-0.057	-0.297	11.745	0.09734	2
-0.038	-0.335	12.205	0.09518	2
-0.019	-0.371	12.632	0.09323	2
0	-0.406	13.028	0.09146	2
0.083	-0.543	14.495	0.08581	2
0.167	-0.657	15.551	0.0828	2
0.25	-0.751	16.253	0.08119	2
0.333	-0.824	16.728	0.08024	2
0.417	-0.881	17.047	0.07955	2
0.5	-0.924	17.248	0.07898	2
0.583	-0.955	17.361	0.07851	2
0.667	-0.977	17.409	0.07813	2
0.75	-0.993	17.408	0.07783	2
0.833	-1.003	17.374	0.07761	2
0.917	-1.01	17.316	0.0775	2
1	-1.014	17.245	0.07749	2
1.083	-1.017	17.168	0.07757	2
1.167	-1.018	17.084	0.07772	2
1.25	-1.02	16.999	0.07794	2
1.333	-1.02	16.911	0.07821	2
1.417	-1.021	16.825	0.07851	2
1.5	-1.022	16.741	0.07882	2
1.583	-1.024	16.662	0.07914	2
1.667	-1.025	16.589	0.07944	2
1.75	-1.028	16.521	0.07972	2
1.833	-1.03	16.457	0.07999	2
1.917	-1.033	16.395	0.08024	2
2	-1.036	16.336	0.08049	2
2.083	-1.039	16.28	0.08073	2
2.167	-1.042	16.227	0.08097	2
2.25	-1.046	16.178	0.0812	2
2.333	-1.05	16.133	0.08142	2
2.417	-1.053	16.093	0.08164	2
2.5	-1.057	16.055	0.08185	2
2.583	-1.062	16.021	0.08207	2
2.667	-1.066	15.989	0.08229	2
