Age	L	M	S	Gender
-0.077	1	46.99	0.03836	2
-0.057	1	47.8	0.03808	2
-0.038	1	48.61	0.0378	2
-0.019	1	49.41	0.03752	2
0	1	50.22	0.03725	2
0.083	1	53.69	0.03607	2
0.167	1	56.91	0.03498	2
0.25	1	59.73	0.03404	2
0.333	1	62.11	0.03331	2
0.417	1	64.11	0.03278	2
0.5	1	65.82	0.03245	2
0.583	1	67.36	0.03227	2
0.667	1	68.77	0.03222	2
0.75	1	70.12	0.03228	2
0.833	1	71.42	0.03242	2
0.917	1	72.69	0.03262	2
1	1	73.92	0.03287	2
1.083	1	75.11	0.03314	2
1.167	1	76.27	0.03344	2
1.25	1	77.4	0.03374	2
1.333	1	78.48	0.03405	2
1.417	1	79.53	0.03436	2
1.5	1	80.53	0.03466	2
1.583	1	81.49	0.03495	2
1.667	1	82.41	0.03523	2
1.75	1	83.3	0.03549	2
1.833	1	84.16	0.03574	2
1.917	1	85	0.03597	2
2	1	85.82	0.03618	2
2.083	1	86.62	0.03639	2
2.167	1	87.41	0.03659	2
2.25	1	88.18	0.03678	2
2.333	1	88.94	0.03696	2
2.417	1	89.68	0.03713	2
2.5	1	90.42	0.0373	2
2.583	1	91.14	0.03747	2
2.667	1	91.84	0.03762	2
2.75	1	92.54	0.03777	2
2.833	1	93.21	0.03792	2
2.917	1	93.87	0.03806	2
3	1	94.52	0.03819	2
3.083	1	95.15	0.03833	2
3.167	1	95.76	0.03846	2
3.25	1	96.36	0.03859	2
3.333	1	96.95	0.03871	2
3.417	1	97.54	0.03884	2
3.5	1	98.11	0.03896	2
3.583	1	98.69	0.03908	2
3.667	1	99.26	0.0392	2
3.75	1	99.82	0.03932	2
3.833	1	100.39	0.03944	2
3.917	1	100.96	0.03955	2
4	1	101.54	0.03967	2
4.083	1	102.12	0.03979	2
4.167	1	102.71	0.03992	2
4.25	1	103.31	0.04004	2
4.333	1	103.91	0.04016	2
4.417	1	104.53	0.04028	2
4.5	1	105.15	0.04041	2
4.583	1	105.77	0.04053	2
4.667	1	106.4	0.04065	2
4.75	1	107.02	0.04077	2
4.833	1	107.64	0.04088	2
4.917	1	108.26	0.04099	2
5	1	108.86	0.0411	2
5.083	1	109.45	0.0412	2
5.167	1	110.03	0.0413	2
5.25	1	110.6	0.0414	2
5.333	1	111.16	0.04149	2
5.417	1	111.71	0.04157	2
5.5	1	112.24	0.04165	2
5.583	1	112.77	0.04173	2
5.667	1	113.29	0.0418	2
5.75	1	113.81	0.04187	2
5.833	1	114.32	0.04194	2
5.917	1	114.82	0.042	2
6	1	115.33	0.04206	2
6.083	1	115.83	0.04212	2
6.167	1	116.33	0.04217	2
6.25	1	116.82	0.04222	2
6.333	1	117.31	0.04227	2
6.417	1	117.81	0.04232	2
6.5	1	118.3	0.04237	2
6.583	1	118.79	0.04241	2
6.667	1	119.28	0.04246	2
6.75	1	119.77	0.0425	2
6.833	1	120.26	0.04254	2
6.917	1	120.77	0.04258	2
7	1	121.27	0.04261	2
7.083	1	121.77	0.04265	2
7.167	1	122.28	0.04268	2
7.25	1	122.79	0.04271	2
7.333	1	123.31	0.04273	2
7.417	1	123.82	0.04276	2
7.5	1	124.33	0.04278	2
7.583	1	124.84	0.04281	2
7.667	1	125.34	0.04284	2
7.75	1	125.85	0.04287	2
7.833	1	126.35	0.0429	2
7.917	1	126.85	0.04293	2
8	1	127.34	0.04298	2
8.083	1	127.82	0.04302	2
8.167	1	128.3	0.04308	2
8.25	1	128.76	0.04314	2
8.333	1	129.23	0.04321	2
8.417	1	129.69	0.04328	2
8.5	1	130.14	0.04336	2
8.583	1	130.59	0.04345	2
8.667	1	131.03	0.04354	2
8.75	1	131.48	0.04364	2
8.833	1	131.92	0.04375	2
8.917	1	132.37	0.04387	2
9	1	132.82	0.04399	2
9.083	1	133.27	0.04412	2
9.167	1	133.73	0.04426	2
9.25	1	134.19	0.0444	2
9.333	1	134.65	0.04455	2
9.417	1	135.12	0.04471	2
9.5	1	135.59	0.04487	2
9.583	1	136.06	0.04504	2
9.667	1	136.53	0.04521	2
9.75	1	137	0.04538	2
9.833	1	137.48	0.04556	2
9.917	1	137.95	0.04574	2
10	1	138.43	0.04593	2
10.083	1	138.9	0.04612	2
10.167	1	139.38	0.0463	2
10.25	1	139.86	0.04649	2
10.333	1	140.33	0.04667	2
10.417	1	140.81	0.04685	2
10.5	1	141.28	0.04702	2
10.583	1	141.76	0.04719	2
10.667	1	142.23	0.04734	2
10.75	1	142.71	0.04749	2
10.833	1	143.18	0.04762	2
10.917	1	143.65	0.04774	2
11	1	144.12	0.04785	2
11.083	1	144.59	0.04793	2
11.167	1	145.06	0.048	2
11.25	1	145.53	0.04805	2
11.333	1	146	0.04808	2
11.417	1	146.47	0.04809	2
11.5	1	146.93	0.04808	2
11.583	1	147.4	0.04805	2
11.667	1	147.87	0.04799	2
11.75	1	148.34	0.04792	2
11.833	1	148.82	0.04782	2
11.917	1	149.28	0.0477	2
12	1	149.76	0.04755	2
12.083	1	150.24	0.04739	2
12.167	1	150.71	0.04721	2
12.25	1	151.18	0.04701	2
12.333	1	151.66	0.0468	2
12.417	1	152.13	0.04657	2
12.5	1	152.6	0.04632	2
12.583	1	153.06	0.04606	2
12.667	1	153.52	0.04579	2
12.75	1	153.96	0.04551	2
12.833	1	154.41	0.04522	2
12.917	1	154.85	0.04492	2
13	1	155.28	0.04462	2
13.083	1	155.7	0.04431	2
13.167	1	156.11	0.044	2
13.25	1	156.52	0.04369	2
13.333	1	156.91	0.04338	2
13.417	1	157.28	0.04307	2
13.5	1	157.65	0.04276	2
13.583	1	158	0.04245	2
13.667	1	158.35	0.04215	2
13.75	1	158.69	0.04185	2
13.833	1	159.01	0.04156	2
13.917	1	159.31	0.04127	2
14	1	159.61	0.041	2
14.083	1	159.89	0.04073	2
14.167	1	160.16	0.04046	2
14.25	1	160.42	0.04021	2
14.333	1	160.67	0.03997	2
14.417	1	160.9	0.03974	2
14.5	1	161.12	0.03952	2
14.583	1	161.32	0.03931	2
14.667	1	161.52	0.0391	2
14.75	1	161.71	0.03892	2
14.833	1	161.88	0.03874	2
14.917	1	162.03	0.03858	2
15	1	162.18	0.03842	2
15.083	1	162.32	0.03828	2
15.167	1	162.44	0.03815	2
15.25	1	162.56	0.03803	2
15.333	1	162.66	0.03792	2
15.417	1	162.76	0.03782	2
15.5	1	162.85	0.03772	2
15.583	1	162.92	0.03764	2
15.667	1	163	0.03756	2
15.75	1	163.06	0.03749	2
15.833	1	163.12	0.03743	2
15.917	1	163.18	0.03737	2
16	1	163.22	0.03732	2
16.083	1	163.27	0.03728	2
16.167	1	163.3	0.03723	2
16.25	1	163.34	0.0372	2
16.333	1	163.37	0.03716	2
16.417	1	163.4	0.03713	2
16.5	1	163.42	0.03711	2
16.583	1	163.45	0.03708	2
16.667	1	163.46	0.03707	2
16.75	1	163.48	0.03705	2
16.833	1	163.49	0.03704	2
16.917	1	163.5	0.03703	2
17	1	163.51	0.03702	2
17.083	1	163.51	0.03701	2
17.167	1	163.52	0.03701	2
17.25	1	163.52	0.03701	2
17.333	1	163.52	0.03701	2
17.417	1	163.52	0.037	2
17.5	1	163.53	0.037	2
17.583	1	163.53	0.03699	2
17.667	1	163.54	0.03699	2
17.75	1	163.55	0.03698	2
17.833	1	163.56	0.03697	2
17.917	1	163.57	0.03696	2
18	1	163.57	0.03695	2
18.083	1	163.58	0.03695	2
18.167	1	163.59	0.03694	2
18.25	1	163.6	0.03693	2
